Index,Reaction1,Reaction2,Catalyst1,Catalyst2,Product,Yield,ee
1,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.367142906234751,0.799270651661376
2,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.3559745401992177,0.822546072644144
3,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.4010588039242311,0.808106197635905
4,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.3340659656349989,0.811708957466525
5,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-6]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94.[Cl-].[Cl-].O.O.O.O.O.O,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.20283098666143806,0.843148460575154
6,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-4]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.290160823399375,0.868838231464688
7,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.058371801276740756,0.862317937927569
8,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.16966617590068883,0.830924172668225
9,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC/[N+](CC)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(N(CC)CC)C=C4)OC2=C.[Cl-],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.117810079358908,0.834921608850733
10,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CN(C1=CC2=[S+]C3=C(C=CC(N(C)C)=C3)N=C2C=C1)C.[Cl-],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.053476026874062915,0.815063869686812
11,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.09729772154823227,0.837447495971003
12,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.1711726753860508,0.848988323619295
