index,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
BrettPhos,6.29291,6.29291,0.37349,-0.37349,0.29678,17.68421,536.781,483.357,536.37832,210.0,0.0,0.12712,-0.49608,0.49608,0.12712,0.60526,1.05263,1.44737,31.13172,9.81169,2.37517,-2.40532,2.59188,-2.2833,7.67181,0.40647,2.92795,2.08293,1010.83971,27.39661,25.53093,26.42536,18.27729,15.49325,16.97326,12.72309,15.44544,9.11925,12.68601,7.01249,11.08255,-1.53,290493481.40221,29.45262,13.21625,6.11429,234.59728,9.47373,11.49902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12168,89.14153,10.86799,14.2196,9.47373,13.22613,0.0,0.0,0.0,134.82235,14.2196,40.95582,0.0,22.62593,14.77827,0.0,11.49902,7.92159,25.53758,0.0,0.0,140.19471,24.26547,0.0,11.1269,0.0,18.46,0.0,0.0,0.0,7.92159,17.75372,22.81701,97.33001,0.0,14.2196,65.80789,9.47373,12.55966,0.0,0.0,1.51551,8.7643,3.49522,9.397,13.84854,14.11329,3.38055,0.65714,38.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,10.2435,4.0,10.5136,167.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CgMe-PPh,6.4221,6.4221,0.1769,-0.55318,0.74112,53.3,292.315,271.147,292.12283,108.0,0.0,0.17279,-0.33869,0.33869,0.17279,0.8,1.3,1.8,31.1321,9.97896,2.70681,-2.69285,2.75152,-2.7184,7.67976,-0.46745,2.22092,1.86568,514.10023,14.22577,12.47292,13.36735,9.26271,7.22046,8.5621,6.94837,10.02761,4.56198,7.76735,4.70967,8.73232,-0.47,28427.80471,13.21085,3.64406,1.6716,120.90365,14.21059,0.0,11.57422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33184,40.92108,12.84164,10.68428,14.21059,13.22613,0.0,0.0,0.0,62.79509,0.0,30.33184,0.0,0.0,5.30454,0.0,0.0,7.92159,22.2585,14.21059,0.0,40.53659,30.33184,0.0,0.0,0.0,27.69,19.49581,0.0,0.0,10.68428,0.0,12.84164,5.30454,0.0,0.0,58.02678,14.21059,18.92282,0.0,0.0,1.00593,0.0,-1.02309,10.69873,1.5948,8.59474,-0.55318,0.625,20.0,0.0,3.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,4.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,2.40706,5.0,3.5294,79.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GorlosPhos HBF4,6.36639,6.36639,0.20149,-0.24489,0.46514,19.81481,390.548,351.236,390.26877,152.0,0.0,0.13058,-0.4902,0.4902,0.13058,0.7037,1.11111,1.48148,31.13172,9.99452,2.35853,-2.39793,2.57486,-2.2897,7.67068,0.23281,2.64836,2.03618,525.49395,19.2254,17.87623,18.77066,13.05855,11.30607,12.78608,8.92704,11.64939,5.8817,9.44524,4.83645,8.76946,-0.75,1319097.09018,20.97081,10.14897,5.62723,167.71547,9.47373,11.49902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.51288,76.82896,0.0,17.51247,9.47373,13.22613,0.0,0.0,0.0,115.42909,0.0,18.1991,0.0,11.49902,14.77827,0.0,11.49902,7.92159,23.52592,0.0,0.0,91.90317,18.1991,0.0,0.0,0.0,18.46,0.0,0.0,0.0,20.12952,0.0,22.81701,69.51276,0.0,0.0,45.89405,9.47373,12.73278,0.0,0.0,1.4525,1.70051,2.20446,6.51507,14.47857,8.56841,-0.24489,0.75,27.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,7.88267,3.0,7.0336,118.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JackiePhos,14.33767,14.33767,0.00496,-5.39727,0.12407,13.11111,796.673,759.377,796.23396,294.0,0.0,0.41595,-0.49608,0.49608,0.41595,0.44444,0.77778,1.05556,31.13153,9.81174,2.4177,-2.30726,2.50718,-2.28268,7.79887,-0.14408,3.05153,2.41823,1819.03875,40.87759,30.30484,31.19926,24.69798,16.52296,17.86461,13.59572,15.74655,8.80974,11.25014,6.13891,8.858,-3.93,112894353043.8783,42.80668,15.30596,8.95266,305.79002,9.47373,11.49902,0.0,0.0,0.0,24.70519,0.0,0.0,52.68498,0.0,53.67516,107.06913,10.86799,36.4734,62.15871,23.83521,0.0,0.0,0.0,84.00134,14.2196,99.60783,0.0,22.62593,25.38735,52.68498,11.49902,7.92159,14.2196,24.70519,0.0,98.2403,60.66367,0.0,11.1269,0.0,18.46,65.48967,52.68498,0.0,52.25347,40.95582,12.67325,19.24253,0.0,53.67516,0.0,9.47373,183.46323,0.0,0.0,-1.90311,-4.59532,-0.7961,7.40212,-21.58906,11.24563,-0.81998,0.38462,54.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,15.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.13329,4.0,12.5744,185.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCy3 HBF4,1.60983,1.60983,0.38485,0.38485,0.51985,28.89474,280.436,247.172,280.23199,110.0,0.0,-0.02042,-0.09715,0.09715,0.02042,0.36842,0.63158,0.89474,31.13182,9.98649,2.35881,-2.44054,2.61132,-2.2751,7.59499,0.45986,2.50834,1.68369,201.62191,12.916,12.78587,13.68029,9.44949,9.22409,10.77328,7.32272,10.40803,5.989,10.06801,5.03197,9.70512,0.43,44146.84088,14.37074,7.44164,3.74871,121.42546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70898,55.50191,0.0,0.0,0.0,7.92159,0.0,0.0,0.0,113.28931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92159,16.97698,0.0,0.0,96.31232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92159,0.0,36.23945,77.04986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56931,0.0,0.0,23.61992,0.0,0.38485,1.0,19.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,5.62852,3.0,6.4664,87.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(fur)3,5.45205,5.45205,0.83488,-0.83488,0.64982,11.0625,232.175,223.103,232.02893,80.0,0.0,0.14041,-0.46385,0.46385,0.14041,0.625,1.0,1.25,31.1316,10.66727,2.23706,-2.07833,2.3245,-2.16543,7.78303,0.58433,3.01822,2.09134,441.43576,10.79468,8.36811,9.26254,7.94949,4.85633,6.19797,3.18928,5.18241,2.17963,4.26539,1.51718,3.37303,-1.73,13274.13387,9.49272,4.02828,1.59381,93.42826,13.25145,24.4256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3982,0.0,18.78949,13.25145,24.4256,0.0,0.0,0.0,0.0,0.0,55.18769,0.0,0.0,16.50401,0.0,0.0,7.92159,0.0,0.0,0.0,0.0,68.43914,0.0,0.0,0.0,39.42,7.92159,0.0,0.0,0.0,0.0,16.50401,0.0,18.78949,36.3982,0.0,13.25145,16.35614,0.0,0.0,0.0,2.62472,0.0,11.43836,4.98972,0.0,-0.83488,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.38996,3.0,2.2238,61.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPh2Me,2.30556,2.30556,0.17078,-0.17078,0.65376,10.42857,200.221,187.117,200.07549,70.0,0.0,-0.01979,-0.06222,0.06222,0.01979,0.64286,1.0,1.35714,31.13132,10.36135,2.04654,-2.116,2.27034,-2.09025,7.71805,1.74938,2.30394,2.29625,340.99502,9.80312,8.22072,9.11514,6.87701,4.71579,6.50465,3.23012,5.38094,2.28698,4.43246,1.45227,2.98911,-1.13,2580.41424,9.42599,4.39198,2.02456,86.35312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367,25.19549,0.0,0.0,0.0,18.53067,0.0,0.0,0.0,0.0,6.66483,60.66367,0.0,0.0,10.60908,0.0,0.0,7.92159,6.66483,0.0,0.0,0.0,60.66367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92159,0.0,0.0,10.60908,0.0,0.0,67.3285,0.0,0.0,0.0,0.0,2.87722,0.0,0.0,21.39541,0.0,2.30556,-0.17078,0.07692,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.95706,2.0,2.7491,64.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPh3,2.22788,2.22788,0.44599,-0.44599,0.63421,10.57895,262.292,247.172,262.09114,92.0,0.0,-0.01344,-0.06222,0.06222,0.01344,0.36842,0.63158,0.89474,31.13152,10.35258,2.14409,-2.18483,2.3156,-2.19617,7.79375,1.73571,2.50834,2.12101,523.7139,12.916,10.60747,11.50189,9.44949,6.40287,7.74451,4.34206,6.56207,3.04318,5.4868,2.17841,4.48366,-1.91,44146.84088,12.14066,5.82014,2.74868,115.04528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.99551,23.83521,0.0,0.0,0.0,23.83521,0.0,0.0,0.0,0.0,0.0,90.99551,0.0,0.0,15.91362,0.0,0.0,7.92159,0.0,0.0,0.0,0.0,90.99551,0.0,0.0,0.0,0.0,7.92159,0.0,0.0,0.0,0.0,0.0,15.91362,0.0,0.0,90.99551,0.0,0.0,0.0,0.0,4.19417,0.0,0.0,32.3259,0.0,0.0,-0.44599,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.71896,3.0,3.4448,85.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPhMe2,2.26852,2.26852,0.10442,0.10442,0.52086,10.11111,138.15,127.062,138.05984,48.0,0.0,-0.02458,-0.08169,0.08169,0.02458,1.0,1.55556,1.88889,31.13112,10.37016,1.91994,-2.02043,2.21527,-1.94861,7.63606,1.76822,1.90037,2.84823,167.18233,6.69023,5.83396,6.72839,4.30453,3.02872,5.26479,2.22998,4.53523,1.27259,2.60353,0.72614,1.49455,-0.35,129.22534,6.76561,2.98267,1.79931,57.66097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25342,18.63419,0.0,0.0,0.0,13.22613,0.0,0.0,0.0,0.0,13.32965,30.33184,0.0,0.0,5.30454,0.0,0.0,7.92159,13.32965,0.0,0.0,0.0,30.33184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92159,0.0,0.0,5.30454,0.0,0.0,43.66149,0.0,0.0,0.0,0.0,1.47917,0.0,0.0,10.62011,0.0,4.53704,0.10442,0.25,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.24218,1.0,2.0534,44.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPhtBu2,2.35809,2.35809,0.13786,-0.13786,0.61807,13.26667,222.312,199.128,222.15374,84.0,0.0,-0.01345,-0.06429,0.06429,0.01345,0.73333,1.13333,1.46667,31.13202,10.22725,2.34634,-2.4133,2.57478,-2.3041,7.68068,0.7146,1.99703,3.14871,286.35085,11.69023,10.83396,11.72839,6.72718,5.5815,6.92314,6.0126,9.8831,2.35603,5.85386,2.35789,6.38982,-0.35,1214.19604,12.71826,4.25772,3.31224,95.85063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.79585,15.6167,0.0,0.0,0.0,13.22613,0.0,0.0,0.0,51.85458,0.0,30.33184,0.0,0.0,5.30454,0.0,0.0,7.92159,10.31216,0.0,0.0,41.54242,30.33184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92159,10.31216,0.0,5.30454,0.0,0.0,71.87426,0.0,0.0,0.0,0.0,2.26079,0.0,0.0,10.96928,0.0,14.14853,-0.13786,0.57143,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.61005,1.0,4.3908,72.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
