ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles,yield
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,4.68
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,1.83
CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,2.04
Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,25.64
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,6.64
CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,7.92
c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.28
COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,4.34
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,7.51
CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,12.19
COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,52.85
FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,14.3
c1coc(P(c2ccco2)c2ccco2)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,8.11
