Catalyst,Solvent,Base,Plate,Analysis,Plating,Yield,Conversion
IPr-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,93,100
SIPr-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,93,100
IMes-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,38,36
SIMes-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,32,99
IDD-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,11,11
SIDD-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,7,3
IPr*-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,78,100
IPr*OMe-Pd-DMS,EtOH,K2CO3,783,UPLC,Method1,76,100
IPr-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,91,100
SIPr-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,19,28
IMes-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,35,39
SIMes-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,17,21
IDD-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,14,34
SIDD-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,10,25
IPr*-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,11,41
IPr*OMe-Pd-DMS,EtOH,Cs2CO3,783,UPLC,Method1,9,37
IPr-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,94,100
SIPr-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,84,100
IMes-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,14,13
SIMes-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,20,23
IDD-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,8,14
SIDD-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,8,15
IPr*-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,37,100
IPr*OMe-Pd-DMS,EtOH,K3PO4,783,UPLC,Method1,30,100
IPr-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,30,30
SIPr-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,16,16
IMes-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,15,22
SIMes-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,9,11
IDD-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,5,1
SIDD-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,12,13
IPr*-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,26,33
IPr*OMe-Pd-DMS,iPrOAc,K2CO3,783,UPLC,Method1,23,25
IPr-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,92,100
SIPr-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,87,98
IMes-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,44,50
SIMes-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,38,44
IDD-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,7,6
SIDD-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,45,52
IPr*-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,43,51
IPr*OMe-Pd-DMS,iPrOAc,Cs2CO3,783,UPLC,Method1,46,56
IPr-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,93,98
SIPr-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,45,53
IMes-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,40,48
SIMes-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,32,31
IDD-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,11,12
SIDD-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,40,46
IPr*-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,33,42
IPr*OMe-Pd-DMS,iPrOAc,K3PO4,783,UPLC,Method1,22,26
IPr-Pd-DMS,Me-THF,K2CO3,783,UPLC,Method1,15,7
SIPr-Pd-DMS,Me-THF,K2CO3,783,UPLC,Method1,8,4
IMes-Pd-DMS,Me-THF,K2CO3,783,UPLC,Method1,8,1
SIMes-Pd-DMS,Me-THF,K2CO3,783,UPLC,Method1,5,0
