Starting material,Solvent,Ligand,Rh_amount,Ligand_amount,Temperature,Hydrogen_p,Time,Conversion,ee_abs,Product,Comment
SM5,CO,L186,1.0,2.0,50.0,5.0,16.0,0.00,0.995,C[C@@H](C(O)=O)C1=CC=CC=C1,
SM1,CO,L55,1.0,1.0,25.0,5.0,1.0,1.0,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L111,1.0,1.0,25.0,5.0,1.0,0.22,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L168,1.0,2.0,25.0,5.0,1.0,0.06,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L170,1.0,1.0,25.0,5.0,1.0,0.02,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L173,1.0,1.0,25.0,5.0,1.0,0.03,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L192,1.0,2.0,25.0,5.0,1.0,0.02,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L55,1.0,1.0,25.0,5.0,16.0,0.98,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L111,1.0,1.0,25.0,5.0,16.0,1.0,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L152,1.0,1.0,25.0,5.0,16.0,0.05,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L168,1.0,2.0,25.0,5.0,16.0,0.05,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L186,1.0,2.0,25.0,5.0,16.0,0.02,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L55,1.0,1.0,25.0,30.0,16.0,1.0,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L151,1.0,1.0,25.0,30.0,16.0,0.02,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L55,1.0,1.0,25.0,5.0,16.0,1.0,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L111,1.0,1.0,25.0,5.0,16.0,1.0,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM1,CO,L152,1.0,1.0,25.0,5.0,16.0,0.04,0.995,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
SM2,CO,L28,1.0,1.0,25.0,5.0,1.0,0.27,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L55,1.0,1.0,25.0,5.0,1.0,0.94,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L67,1.0,1.0,25.0,5.0,1.0,0.65,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L68,1.0,1.0,25.0,5.0,1.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L69,1.0,1.0,25.0,5.0,1.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L75,1.0,1.0,25.0,5.0,1.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L111,1.0,1.0,25.0,5.0,1.0,0.09,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L113,1.0,1.0,25.0,5.0,1.0,0.67,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L131,1.0,2.0,25.0,5.0,1.0,0.02,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L55,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L67,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L68,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L69,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L75,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
SM2,CO,L113,1.0,1.0,25.0,5.0,16.0,1.0,0.995,C[C@@H](NC(C)=O)C(OC)=O,
