Ligand,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos,dihedral_angle_1,dihedral_angle_2,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,distance_pi_bond_1,distance_pi_bond_2,sum_electronic_and_free_energy_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,nbo_charge_Rh_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_homo_lumo_gap_dft,lone_pair_occupancy_max_donor_dft_abs_diff,lone_pair_occupancy_min_donor_dft_abs_diff
L1,0.349390594,0.391491094,0.402717135,0.359634641,0.016343795,0.173542522,0.12508041,0.044391818,0.682437394,0.609439666,0.594188873,0.761042451,0.532298267,0.894142518,0.909231737,-0.974771812,0.223203752,0.775549835,-0.631286348,-5.445910183,-6.70459032,2.330337621,2.315897115,1.39180243,1.389934348,-3722.02749,1.77724648,1.24555,1.29391,-3.435464664,-0.30116,0.89133,0.79783,3.988372707,0.1537,0.15039
L2,0.302932319,0.393292839,0.412098735,0.310338546,0.056158667,0.172517832,0.087867109,0.05492904,0.549705971,0.614067846,0.532809983,0.769268429,0.543671962,0.943632361,0.910780842,-0.371325209,0.928502875,0.361728259,-0.932283576,-12.77240234,-14.26050506,2.406816238,2.323101063,1.39121062,1.394866597,-3567.50341,1.863689526,1.25116,1.34985,-3.175310222,-0.26093,0.88766,0.76997,4.182389882,0.15589,0.15293
L3,0.366149958,0.364089194,0.415861621,0.386080165,0.081445723,0.028383894,0.081514035,0.067874282,0.650854192,0.699794493,0.690646294,0.763848961,0.555400904,0.923779351,0.913075382,-0.601796394,0.798649547,-0.776796806,-0.629751318,-14.64569747,-6.935351771,2.362471747,2.380743632,1.392435355,1.388874624,-3729.046324,1.274637599,1.29109,1.3045,-3.890705892,-0.27578,0.79591,0.75811,4.168239962,0.14702,0.14691
L4,0.441863113,0.353611745,0.361954424,0.365939327,0.11884119,0.142061789,0.08190114,0.066496644,0.764885036,0.565161702,0.649977514,0.657412204,0.501106504,0.908195117,0.891760622,0.558299257,-0.829639645,0.913633631,0.406538545,-0.287526744,-4.731149169,2.381162265,2.300999524,1.393590309,1.386472913,-3722.016668,2.299184329,1.27885,1.31265,-3.477735689,-0.26648,0.86047,0.81902,4.255860622,0.16292,0.15749
L5,0.406158383,0.380404525,0.391163762,0.404868982,0.05193467,0.199615172,0.154989952,0.071164673,0.760382095,0.561193877,0.654748012,0.711162852,0.52335888,0.905923873,0.887660734,-0.990466677,-0.137752538,-0.777705168,-0.6286292,-1.441456297,-4.820775273,2.314091553,2.300571138,1.390490146,1.388204579,-3871.815098,1.988545162,1.28105,1.24587,-3.484120582,-0.30763,0.84361,0.88382,4.100483613,0.14943,0.15921
L6,0.505345463,0.38652989,0.348163814,0.494224737,0.152980423,0.12424358,0.280468852,0.018080074,0.857710502,0.648816199,0.707980622,0.678247554,0.539304184,0.912714312,0.895184961,-0.979542202,-0.201238851,0.352446544,-0.935831947,-8.797292015,-6.069712023,2.302159071,2.332292022,1.391102449,1.390014128,-5067.94951,4.943988825,1.28798,1.24365,-3.917863181,-0.31955,0.79065,0.91376,3.386456869,0.15014,0.1522
L7,0.349749236,0.444911564,0.454472484,0.363981032,0.016611352,0.234625391,0.125125951,0.075348821,0.682887119,0.655197737,0.602836112,0.833596147,0.53453457,0.89563921,0.91047801,-0.979104229,0.203359065,-0.031315338,0.999509555,-5.314947627,-6.652847397,2.328129756,2.3161431,1.391944217,1.390023571,-4107.453463,1.865566933,1.24003,1.29469,-4.099551661,-0.30155,0.89282,0.79856,4.071095317,0.15373,0.15045
L8,0.55014431,0.357044454,0.407612872,0.472008903,0.252176042,0.171134502,0.188833164,0.084690572,0.848112579,0.542954407,0.755184643,0.730535172,0.513563408,0.919126211,0.886851239,0.155473693,0.987840033,-0.297693385,-0.954661536,-16.00624128,-7.098550086,2.316263949,2.302017967,1.391336381,1.387284174,-5217.735787,4.753580274,1.26809,1.26374,-4.091473526,-0.30295,0.83139,0.89708,3.561970303,0.15562,0.15583
L9,0.427548772,0.330980343,0.297501466,0.376903503,0.136944035,0.093058868,0.09628664,0.063342878,0.71815351,0.568901818,0.657520366,0.531660054,0.516189899,0.905964638,0.936230432,0.54948035,0.83550664,-0.913324289,-0.407233033,10.8566501,13.57718003,2.411803256,2.441398621,1.391778597,1.395598763,-3574.557287,1.766808968,1.35474,1.31313,-3.453861761,-0.20755,0.78639,0.81776,4.766346205,0.15493,0.15429
L10,0.302280503,0.40720015,0.417868305,0.309675344,0.055669094,0.201374222,0.086785493,0.056597007,0.548891912,0.613026078,0.532565196,0.779139603,0.543299245,0.943533358,0.910996319,-0.486165829,0.873866572,0.102719519,-0.99471036,-12.66718556,-14.58446553,2.409186279,2.318644577,1.390870556,1.394884919,-4240.461188,4.388517552,1.25359,1.34854,-3.381783684,-0.26304,0.89872,0.76673,3.808505452,0.1553,0.15292
