index,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Morpholine,5.00694,5.00694,0.88889,0.88889,0.43406,24.0,87.122,78.05,87.06841,36.0,0.0,0.05911,-0.37881,0.37881,0.05911,1.16667,1.83333,2.0,16.47669,10.53527,1.92441,-2.09985,1.76182,-2.29693,4.49111,0.10911,1.71997,2.0,23.01955,4.24264,3.73668,3.73668,3.0,2.28446,2.28446,1.36237,1.36237,0.84635,0.84635,0.51574,0.51574,-0.08,34.39946,4.08892,2.15722,0.95369,37.49165,10.05365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08951,13.21376,4.73686,0.0,0.0,5.31679,0.0,0.0,26.30328,0.0,0.0,0.0,5.31679,0.0,0.0,0.0,26.30328,4.73686,0.0,0.0,0.0,0.0,0.0,0.0,21.26,0.0,0.0,0.0,0.0,0.0,26.30328,0.0,0.0,0.0,5.31679,4.73686,5.00694,0.0,0.0,3.15972,0.0,0.0,0.0,0.0,3.83333,0.0,1.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.47011,1.0,-0.3938,23.6887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diphenyl-2-pyrrolidinyl-TMS-ether,6.95787,6.95787,0.31854,-1.76573,0.81534,19.0,325.528,298.312,325.18619,122.0,0.0,0.18504,-0.40255,0.40255,0.18504,0.91304,1.43478,1.82609,28.35103,9.79334,2.46295,-2.44275,2.41743,-2.52574,6.69425,0.06392,3.0812,2.19994,575.59486,16.33865,14.38042,15.38042,11.02262,8.56877,11.97702,7.33107,11.75994,4.4235,5.35784,3.64402,4.9879,-1.42312,239101.13921,16.4352,6.59622,3.4185,140.56993,9.74279,5.60105,8.31739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367,50.15434,6.04184,0.0,4.42601,8.31739,0.0,5.31679,0.0,44.12557,6.54476,71.79057,0.0,0.0,5.31679,0.0,0.0,0.0,20.90399,10.02706,0.0,23.96855,60.66367,19.64103,0.0,0.0,21.26,13.91844,0.0,0.0,0.0,6.04184,12.96558,17.54772,0.0,0.0,85.62149,4.42601,6.95787,0.0,0.0,3.7143,2.11555,0.0,21.82098,2.35656,7.91159,-1.76573,0.4,23.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,4.71349,3.0,4.5337,99.1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macmillan_cat1,11.45685,11.45685,0.0965,-6.09028,0.49531,24.45,320.333,301.181,320.10176,120.0,0.0,0.48523,-0.74115,0.74115,0.48523,1.25,1.6,1.7,32.24019,9.91997,2.43821,-2.27935,2.21313,-2.94152,7.86123,-0.71496,2.42816,0.0,456.10361,16.51651,11.8544,12.6709,8.58722,5.72558,7.13383,5.641,7.01215,2.79615,3.3631,1.81276,1.81276,-0.87,6976.1157,19.13,5.86022,4.90939,115.62019,9.86954,0.0,22.32574,0.0,5.90718,5.50833,9.69445,8.4178,13.17125,0.0,20.77121,6.92374,12.46266,0.0,36.25312,16.02531,0.0,4.89991,5.41499,45.4109,7.04767,0.0,0.0,0.0,5.31679,13.17125,0.0,0.0,48.54126,14.91266,5.41499,27.69495,0.0,0.0,0.0,0.0,94.12,15.62646,17.96578,0.0,17.36401,6.16578,0.0,0.0,0.0,18.87132,26.088,12.97055,58.90278,0.0,13.3087,2.1412,-5.48396,0.2453,0.0965,0.29167,8.45093,-4.20312,0.9,20.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.6053,1.0,-0.1661,63.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
di(dCF3-phenyl)-2-pyrrolidinyl-TMS-ether,13.76992,13.76992,0.01421,-5.32444,0.27543,18.07692,597.516,574.332,597.13573,218.0,0.0,0.41594,-0.40255,0.41594,0.40255,0.58974,0.89744,1.12821,28.35104,9.76904,2.5079,-2.45047,2.4832,-2.53036,6.6943,-0.14419,3.28843,2.56335,1046.04279,29.81963,20.60659,21.60659,17.44331,11.47929,14.88754,10.18814,14.617,6.05125,6.9856,4.6112,5.95509,-2.26312,95248084.37366,31.26701,9.97884,6.90746,216.01612,9.74279,5.60105,8.31739,0.0,0.0,24.70519,0.0,0.0,52.68498,0.0,0.0,86.55254,6.04184,22.25381,57.11099,8.31739,0.0,5.31679,0.0,68.83076,6.54476,69.77891,0.0,0.0,5.31679,52.68498,0.0,0.0,20.90399,34.73225,0.0,46.22235,36.3982,19.64103,0.0,0.0,21.26,78.04619,52.68498,0.0,31.51913,24.26547,0.0,19.64103,0.0,0.0,5.31679,4.42601,171.39825,0.0,0.0,2.82212,-11.41281,0.0,-0.41037,-21.02264,4.54706,-3.14384,0.5,39.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,15.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,8.00022,3.0,8.6089,119.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline,10.13907,10.13907,0.26852,-0.71991,0.49821,28.25,115.132,106.06,115.06333,46.0,0.0,0.32019,-0.48008,0.48008,0.32019,1.75,2.5,2.75,16.36797,10.22532,2.19556,-1.99033,2.02868,-2.29465,5.73189,-0.13852,2.11597,2.34994,96.60179,5.98313,4.55413,4.55413,3.80453,2.76688,2.76688,1.98718,1.98718,1.35841,1.35841,0.89533,0.89533,-0.57,93.10259,5.56459,2.132,0.97958,47.69881,10.42332,6.04184,0.0,0.0,0.0,5.96931,4.79454,0.0,0.0,0.0,0.0,19.3864,0.0,0.0,9.90106,5.96931,0.0,5.31679,0.0,18.88348,6.54476,0.0,0.0,0.0,5.31679,0.0,0.0,0.0,23.66243,4.79454,0.0,12.84164,0.0,0.0,0.0,0.0,49.33,5.96931,4.79454,0.0,6.04184,0.0,19.3864,0.0,0.0,0.0,5.31679,5.10653,0.0,0.0,10.13907,11.20722,0.0,-0.71991,-0.26852,1.78403,0.8581,0.0,0.8,8.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.48296,1.0,-0.177,28.6605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macmillan_cat2,12.23017,12.23017,0.05144,-0.09572,0.86573,24.66667,246.354,224.178,246.17321,98.0,0.0,0.24062,-0.3283,0.3283,0.24062,1.22222,1.83333,2.33333,16.15749,9.91896,2.41454,-2.31729,2.26709,-2.44919,5.84085,-0.1293,2.58375,2.1023,421.86978,13.3365,11.60402,11.60402,8.39287,6.46033,6.46033,6.12668,6.12668,3.49504,3.49504,2.57368,2.57368,-1.35,11130.79017,13.09042,4.72928,2.56057,109.18127,4.89991,0.0,0.0,5.90718,0.0,0.0,10.11133,0.0,0.0,0.0,51.10305,17.39926,7.04767,12.20762,4.79454,5.90718,0.0,10.2167,5.41499,39.39965,7.04767,35.89529,0.0,0.0,5.31679,0.0,0.0,0.0,30.06238,11.21536,5.41499,26.33466,30.33184,0.0,0.0,0.0,32.34,0.0,4.79454,0.0,23.52979,0.0,6.42082,5.56345,0.0,30.14668,38.22073,0.0,0.0,0.0,14.07105,3.4553,1.25172,0.19331,10.06665,0.87043,6.45638,1.88516,0.53333,18.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.43935,2.0,2.0315,73.0827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Octahydroindole-2-carboxylic-acid,10.68245,10.68245,0.26565,-0.67648,0.61514,40.83333,169.224,154.104,169.11028,68.0,0.0,0.32021,-0.48008,0.48008,0.32021,1.33333,2.08333,2.75,16.36805,9.84888,2.37415,-2.2354,2.32498,-2.36411,5.73525,-0.13867,2.4647,1.97937,178.96756,8.55204,7.12305,7.12305,5.77086,4.76008,4.76008,3.94422,3.94422,3.16089,3.16089,2.51051,2.51051,-0.57,907.01026,8.04772,3.0529,1.33201,72.15274,10.42332,6.04184,0.0,0.0,0.0,5.96931,4.79454,0.0,0.0,0.0,12.84164,25.18037,6.04184,0.0,9.90106,5.96931,0.0,5.31679,5.91791,44.18779,0.0,0.0,0.0,0.0,5.31679,0.0,0.0,0.0,23.15951,4.79454,5.91791,32.10411,0.0,0.0,0.0,0.0,49.33,5.96931,4.79454,0.0,6.04184,11.95975,6.42082,25.68329,0.0,0.0,5.31679,5.10653,0.0,0.0,10.68245,11.99053,0.0,-0.03773,0.23421,5.79721,0.0,0.0,0.88889,12.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.04741,2.0,0.9917,44.9225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Pipecolic_acid,10.29185,10.29185,0.27894,-0.71324,0.53188,27.77778,129.159,118.071,129.07898,52.0,0.0,0.32019,-0.48008,0.48008,0.32019,1.55556,2.33333,2.66667,16.36791,10.05925,2.17873,-2.18136,2.05411,-2.39597,5.72951,-0.13955,1.90037,2.31219,107.62549,6.69023,5.26124,5.26124,4.30453,3.26688,3.26688,2.34073,2.34073,1.60841,1.60841,1.0626,1.0626,-0.57,129.22534,6.54862,2.82385,1.67686,54.06375,10.42332,6.04184,0.0,0.0,0.0,5.96931,4.79454,0.0,0.0,0.0,6.42082,19.3864,0.0,0.0,9.90106,5.96931,0.0,5.31679,0.0,25.30431,6.54476,0.0,0.0,0.0,5.31679,0.0,0.0,0.0,23.66243,4.79454,0.0,19.26246,0.0,0.0,0.0,0.0,49.33,5.96931,4.79454,0.0,6.04184,0.0,25.80722,0.0,0.0,0.0,5.31679,5.10653,0.0,0.0,10.29185,11.39472,0.0,-0.71324,-0.27894,2.9475,0.8581,0.0,0.83333,9.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.05471,1.0,0.2131,33.2775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline_amide,10.3613,10.3613,0.0463,-0.21991,0.46974,28.25,114.148,104.068,114.07931,46.0,0.0,0.23406,-0.36832,0.36832,0.23406,1.75,2.5,2.75,16.14791,10.21109,2.1762,-2.00576,2.01971,-2.3556,5.79552,-0.11915,2.11597,2.34994,96.60179,5.98313,4.68427,4.68427,3.80453,2.83195,2.83195,2.05131,2.05131,1.40376,1.40376,0.92739,0.92739,-0.57,93.10259,5.56459,2.132,0.97958,48.24446,11.05046,0.0,0.0,5.90718,0.0,0.0,4.79454,0.0,0.0,0.0,0.0,19.3864,0.0,6.04184,4.79454,5.90718,0.0,5.31679,5.73367,18.88348,6.54476,0.0,0.0,0.0,11.05046,0.0,0.0,0.0,18.49378,4.79454,0.0,12.84164,0.0,0.0,0.0,0.0,55.12,0.0,4.79454,0.0,11.94902,0.0,19.3864,0.0,0.0,0.0,5.31679,5.73367,0.0,0.0,10.3613,2.98148,4.9963,-0.21991,-0.0463,1.98903,0.9381,0.0,0.8,8.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.48296,1.0,-0.7763,30.2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoline-2-carboxamide,10.82982,10.82982,0.22,-0.28593,0.63173,19.83333,162.192,152.112,162.07931,62.0,0.0,0.23976,-0.3732,0.3732,0.23976,1.5,2.25,2.91667,16.14792,10.11114,2.23098,-2.03773,2.23987,-2.32825,5.85377,-0.11813,2.4647,2.27319,297.0595,8.55204,6.57946,6.57946,5.77086,3.9093,3.9093,2.96056,2.96056,2.11458,2.11458,1.46949,1.46949,-1.51,907.01026,7.15596,2.51559,1.03133,70.57167,11.05046,6.04184,0.0,5.90718,0.0,0.0,4.79454,0.0,0.0,0.0,18.1991,11.62982,12.10821,0.0,4.79454,11.59457,0.0,0.0,5.73367,12.46266,5.31679,29.82892,0.0,0.0,11.05046,5.68739,0.0,0.0,11.94902,11.21536,0.0,5.56345,24.26547,0.0,0.0,0.0,55.12,0.0,4.79454,0.0,11.94902,6.42082,5.68739,5.56345,0.0,24.26547,5.31679,5.73367,0.0,0.0,10.82982,3.05935,7.37256,-0.28593,7.64373,0.7138,0.0,0.0,0.22222,12.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.50012,2.0,0.5085,46.7511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
