,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C(CBr)c1ccccc1,10.96655,10.96655,0.12556,0.12556,0.52694,9.3,199.047,191.991,197.96803,52.0,0.0,0.17287,-0.29324,0.29324,0.17287,1.3,1.9,2.4,79.91873,10.15352,1.99101,-1.92281,2.00501,-1.97569,9.09164,0.1019,2.04817,2.85263,217.95902,7.39734,5.38007,6.96607,4.84254,2.98562,4.10709,1.92283,2.48357,1.21713,1.72642,0.7012,1.02494,-0.63,237.58742,7.47672,3.51673,1.67295,68.19036,0.0,0.0,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,46.26178,0.0,5.56345,5.33009,4.79454,21.71319,0.0,0.0,0.0,0.0,5.33009,35.89529,0.0,0.0,0.0,0.0,0.0,15.92994,11.11333,0.0,0.0,10.35799,30.33184,0.0,0.0,0.0,17.07,0.0,4.79454,0.0,5.78324,5.33009,5.56345,0.0,0.0,30.33184,15.92994,0.0,0.0,3.10193,10.96655,0.39981,0.76331,0.12556,9.22618,0.0,0.0,0.0,0.125,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.62936,1.0,2.2642,44.5665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C(=O)CBr)cc1,11.07785,11.07785,0.12963,0.12963,0.5446,9.63636,213.074,204.002,211.98368,58.0,0.0,0.17287,-0.29324,0.29324,0.17287,1.36364,1.90909,2.36364,79.91873,10.11081,2.00421,-1.95698,2.04389,-1.98237,9.09164,0.1019,2.04561,2.89535,250.77017,8.26758,6.30272,7.88872,5.23638,3.39631,4.51777,2.42283,2.98357,1.49491,2.0042,0.81661,1.14035,-0.63,335.47939,8.46643,3.67221,2.1544,74.5553,0.0,0.0,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,45.75886,6.92374,5.56345,5.33009,4.79454,21.71319,0.0,0.0,0.0,6.92374,5.33009,35.39237,0.0,0.0,0.0,0.0,0.0,15.92994,11.11333,0.0,6.92374,15.92144,24.26547,0.0,0.0,0.0,17.07,0.0,4.79454,0.0,5.78324,5.33009,5.56345,5.56345,0.0,31.18921,15.92994,0.0,0.0,3.12045,11.07785,0.39887,1.94778,0.12963,7.57306,0.0,2.00237,0.0,0.22222,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.82641,1.0,2.57262,49.3035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(O)cc1,10.99622,10.99622,0.01852,0.01852,0.60436,9.54545,215.046,207.99,213.96294,58.0,0.0,0.17287,-0.50797,0.50797,0.17287,1.36364,1.90909,2.36364,79.91873,10.14378,2.01091,-1.95071,2.09955,-1.97775,9.09164,0.1019,2.04561,2.89535,253.2995,8.26758,5.74993,7.33593,5.23638,3.11991,4.24138,2.10368,2.66442,1.31065,1.81994,0.72447,1.04821,-0.83,335.47939,8.26833,3.52892,2.0485,72.98459,5.10653,5.74951,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,15.92994,24.26547,5.56345,5.33009,9.90106,21.71319,0.0,0.0,0.0,0.0,5.33009,29.82892,0.0,5.74951,0.0,0.0,5.74951,15.92994,16.21986,0.0,0.0,10.35799,24.26547,0.0,0.0,0.0,37.3,0.0,4.79454,0.0,11.53276,10.89354,0.0,12.13273,12.13273,0.0,15.92994,5.10653,0.0,3.05795,10.99622,9.20537,0.61081,0.19548,6.18417,0.0,0.0,0.0,0.125,11.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.65257,1.0,1.9698,46.2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(C(=O)CBr)cc1,11.12536,11.12536,0.08116,0.08116,0.58659,9.5,229.073,220.001,227.97859,64.0,0.0,0.17287,-0.49677,0.49677,0.17287,1.41667,2.0,2.41667,79.91873,10.14264,2.01746,-1.99471,2.11503,-1.98472,9.09164,0.1019,2.16705,2.84352,266.36195,8.97469,6.71097,8.29697,5.77439,3.50868,4.63015,2.28531,2.84604,1.53336,2.04265,0.85406,1.1778,-0.83,606.77494,9.25953,4.25912,2.07622,79.66884,4.73686,5.74951,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,15.92994,24.26547,5.56345,12.43989,9.5314,21.71319,0.0,0.0,0.0,0.0,12.43989,29.82892,0.0,5.74951,4.73686,0.0,5.74951,15.92994,18.22313,0.0,0.0,10.35799,24.26547,0.0,0.0,0.0,26.3,0.0,4.79454,0.0,5.78324,10.89354,5.74951,0.0,31.37527,0.0,15.92994,4.73686,4.95953,3.10627,11.12536,0.36045,0.70155,0.84609,7.05222,0.0,0.0,1.59853,0.22222,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.28645,1.0,2.2728,51.1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(-c2ccccc2)cc1,11.41436,11.41436,0.11075,0.11075,0.61236,10.0625,275.145,264.057,273.99933,80.0,0.0,0.17287,-0.29324,0.29324,0.17287,0.875,1.4375,2.0,79.91873,10.02966,2.03065,-2.02097,2.18947,-1.98365,9.09164,0.1019,2.38925,2.29828,473.84835,11.38047,8.68947,10.27547,7.80886,5.05699,6.17846,3.50018,4.06092,2.43537,2.94465,1.55633,1.88007,-1.41,6460.53642,11.08669,5.08111,2.39197,103.24745,0.0,0.0,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,70.52725,11.1269,5.56345,5.33009,4.79454,21.71319,0.0,0.0,0.0,0.0,5.33009,60.16076,0.0,11.1269,0.0,0.0,0.0,15.92994,11.11333,0.0,0.0,10.35799,54.5973,0.0,11.1269,0.0,17.07,0.0,4.79454,0.0,5.78324,5.33009,11.1269,5.56345,0.0,42.46457,28.06268,0.0,0.0,3.16537,11.41436,0.3727,3.04502,0.11075,17.80846,0.0,0.0,0.0,0.07143,16.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.52079,2.0,3.9312,70.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(C(F)(F)F)cc1,12.10838,12.10838,0.10949,-4.35121,0.59324,11.42857,267.044,260.996,265.95541,76.0,0.0,0.41591,-0.29324,0.41591,0.29324,1.21429,1.71429,2.07143,79.91873,10.09536,2.29565,-2.0576,2.28587,-2.0586,9.09164,-0.13714,2.15414,2.94998,328.90546,10.76758,6.93661,8.52261,6.44771,3.71325,4.83472,2.63192,3.19265,1.65557,2.16486,0.92225,1.24599,-0.84,1102.91795,11.23599,4.12545,2.57288,87.05191,0.0,0.0,5.78324,0.0,0.0,6.1763,4.79454,0.0,13.17125,0.0,28.06268,12.13273,5.56345,10.89354,17.96578,21.71319,0.0,0.0,0.0,6.1763,5.33009,35.39237,0.0,0.0,0.0,13.17125,0.0,15.92994,11.11333,6.1763,0.0,15.92144,24.26547,0.0,0.0,0.0,17.07,11.73975,17.96578,0.0,16.67679,0.0,12.13273,12.13273,0.0,0.0,15.92994,0.0,36.32515,2.93772,11.04628,0.10949,-0.47361,-0.23729,4.14347,-4.35121,0.0,0.0,0.22222,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.31096,1.0,3.283,49.5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(F)cc1,12.33102,12.33102,0.03704,-0.32303,0.54865,9.63636,217.037,210.989,215.95861,58.0,0.0,0.17287,-0.29324,0.29324,0.17287,1.36364,1.90909,2.36364,79.91873,10.14739,2.01355,-1.94031,2.0406,-1.98386,9.09164,0.1019,2.04561,2.89535,255.2995,8.26758,5.68069,7.26668,5.23638,3.08529,4.20676,2.0637,2.62443,1.28757,1.79685,0.71293,1.03667,-0.7,335.47939,8.39709,3.62189,2.11712,72.35589,0.0,5.81722,5.78324,0.0,0.0,0.0,4.79454,4.39042,0.0,0.0,15.92994,24.26547,5.56345,5.33009,9.18495,21.71319,0.0,0.0,0.0,0.0,5.33009,35.64614,0.0,0.0,0.0,4.39042,0.0,15.92994,11.11333,0.0,5.81722,10.35799,24.26547,0.0,0.0,0.0,17.07,0.0,9.18495,0.0,16.93056,5.56345,0.0,24.26547,0.0,0.0,15.92994,0.0,12.33102,3.0267,10.9554,0.27642,0.53081,-0.36007,5.48972,0.0,0.0,0.0,0.125,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.76485,1.0,2.4033,44.5245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(Cl)cc1,11.03477,11.03477,0.07099,0.07099,0.56695,9.63636,233.492,227.444,231.92905,58.0,0.0,0.17287,-0.29324,0.29324,0.17287,1.36364,1.90909,2.36364,79.91873,10.1515,2.00907,-1.94664,2.09843,-1.97878,9.09164,0.1019,2.04561,2.89535,255.2995,8.26758,5.68069,8.02261,5.23638,3.08529,4.58472,2.0637,3.06087,1.28757,2.04883,0.71293,1.16266,-0.34,335.47939,8.75381,3.8825,2.31127,78.49362,0.0,0.0,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,27.53088,24.26547,10.58608,5.33009,4.79454,33.31413,0.0,0.0,0.0,0.0,5.33009,34.85155,0.0,0.0,0.0,0.0,0.0,27.53088,11.11333,0.0,0.0,10.35799,24.26547,5.02263,0.0,0.0,17.07,0.0,4.79454,0.0,5.78324,15.91617,0.0,0.0,24.26547,0.0,15.92994,11.60094,0.0,8.72399,11.03477,1.00497,0.68637,0.07099,6.84003,0.0,0.0,0.0,0.125,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0897,1.0,2.9176,49.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(Br)cc1,11.06254,11.06254,0.1088,0.1088,0.59995,9.63636,277.943,271.895,275.87854,58.0,0.0,0.17287,-0.29324,0.29324,0.17287,1.27273,1.81818,2.27273,79.91976,10.1528,2.00796,-1.94858,2.10754,-1.97914,9.10319,0.1019,2.04561,2.89535,253.2995,8.26758,5.68069,8.85268,5.23638,3.08529,4.99976,2.0637,3.54011,1.28757,2.32552,0.71293,1.30101,-0.15,335.47939,8.94217,4.02183,2.41611,82.0579,0.0,0.0,5.78324,0.0,0.0,0.0,4.79454,0.0,0.0,0.0,43.99262,12.13273,10.03617,5.33009,4.79454,37.64313,0.0,0.0,0.0,0.0,5.33009,34.30164,0.0,0.0,0.0,0.0,0.0,31.85989,11.11333,0.0,0.0,10.35799,28.73819,0.0,0.0,0.0,17.07,0.0,4.79454,0.0,5.78324,5.33009,10.03617,0.0,12.13273,12.13273,31.85989,0.0,0.98947,6.40218,11.06254,0.38356,0.74081,0.1088,7.31264,0.0,0.0,0.0,0.125,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.26944,1.0,3.0267,52.2665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(CBr)c1ccc(OC(F)(F)F)cc1,11.76997,11.76997,0.13142,-4.70739,0.62883,11.2,283.043,276.995,281.95033,82.0,0.0,0.5726,-0.4058,0.5726,0.4058,1.26667,1.8,2.2,79.91873,10.14235,2.30473,-2.08044,2.22329,-2.16656,9.09164,-0.27419,2.15224,2.76934,345.37024,11.47469,7.34486,8.93086,6.92083,3.8715,4.99297,2.62899,3.18972,1.53124,2.04053,0.91965,1.24339,-1.04,1661.52682,12.03163,4.65314,3.90755,92.16545,4.73686,5.74951,5.78324,0.0,0.0,6.36236,4.79454,0.0,0.0,13.17125,15.92994,24.26547,5.56345,5.33009,22.70265,21.71319,0.0,0.0,0.0,6.36236,5.33009,29.82892,0.0,5.74951,4.73686,13.17125,5.74951,15.92994,17.47569,0.0,0.0,10.35799,24.26547,0.0,0.0,0.0,26.3,6.36236,17.96578,0.0,16.86285,5.56345,12.13273,12.13273,0.0,0.0,20.66681,0.0,38.95694,2.95803,11.10005,0.13142,0.33463,-0.53965,4.76597,-4.70739,0.0,0.0,0.22222,15.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.73233,1.0,3.1628,51.2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
