Data group,Starting material,Solvent,Ligand#,Ligand,Rh [mol%],L [mol%],Temperature [°C],Hydrogen [bar],Time [h],Conversion [-],Enantiomeric excess [-],|ee| [-],|ee| [-] (2digits),ΔΔG‡ [kJ/mol],ΔΔG‡ [kJ/mol] with sign,Absolute stereochemistry [-],Product,Product SMILES,Comment
Additional set,SM5,Methanol,L186,"2-[(2R,3R)-4-(9-Anthracenyl)-3-(1,1-dimethylethyl)-2,3-dihydro-1,3-benzoxaphosphol-2-yl]pyridine",1.0,2.06,50.0,5.0,16.0,0.00,1.00,1.00,0.995,14.85,14.85,(R),(R)-P8,C[C@@H](C(O)=O)C1=CC=CC=C1,
Main data set,SM1,Methanol,L55,"(R,R,S,S)-DuanPhos",1.0,1.09,25.0,5.0,1.0,1.00,1.00,1.00,0.995,19.22,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L111,"(R,R)-BenzP*",1.0,1.08,25.0,5.0,1.0,0.22,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L168,"(3R)-4-[2,6-Bis(1-methylethoxy)phenyl]-3-(1,1-dimethylethyl)-2,3-dihydro-1,3-benzoxaphosphole",1.0,2.04,25.0,5.0,1.0,0.06,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L170,(S)-DTBM-BINAP,1.0,1.06,25.0,5.0,1.0,0.02,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L173,"2-[(2S,3S)-3-(1,1-Dimethylethyl)-2,3-dihydro-4-methoxy-1,3-benzoxaphosphol-2-yl]pyridine",1.0,1.07,25.0,5.0,1.0,0.03,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L192,"(3R)-3-(1,1-Dimethylethyl)-4-(2,6-diphenoxyphenyl)-2,3-dihydro-1,3-benzoxaphosphole",1.0,2.05,25.0,5.0,1.0,0.02,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L55,"(R,R,S,S)-DuanPhos",1.0,1.09,25.0,5.0,16.0,0.98,1.00,1.00,0.995,17.60,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L111,"(R,R)-BenzP*",1.0,1.08,25.0,5.0,16.0,1.00,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L152,SL-N011-2,1.0,1.00,25.0,5.0,16.0,0.05,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L168,"(3R)-4-[2,6-Bis(1-methylethoxy)phenyl]-3-(1,1-dimethylethyl)-2,3-dihydro-1,3-benzoxaphosphole",1.0,2.04,25.0,5.0,16.0,0.05,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Main data set,SM1,Methanol,L186,"2-[(2R,3R)-4-(9-Anthracenyl)-3-(1,1-dimethylethyl)-2,3-dihydro-1,3-benzoxaphosphol-2-yl]pyridine",1.0,2.06,25.0,5.0,16.0,0.02,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Pressure effect,SM1,Methanol,L55,"(R,R,S,S)-DuanPhos",1.0,1.09,25.0,30.0,16.0,1.00,1.00,1.00,0.995,15.09,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Pressure effect,SM1,Methanol,L151,SL-N004-1,1.0,1.03,25.0,30.0,16.0,0.02,1.00,1.00,0.995,14.85,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Reproducibility,SM1,Methanol,L55,"(R,R,S,S)-DuanPhos",1.0,1.09,25.0,5.0,16.0,1.00,1.00,1.00,0.995,16.37,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
Reproducibility,SM1,Methanol,L111,"(R,R)-BenzP*",1.0,1.08,25.0,5.0,16.0,1.00,1.00,1.00,0.995,17.24,14.85,(R),(R)-P1,O=C(OC)[C@H](NC(C)=O)CC1=CC=CC=C1,
