reagent,solvent,ligand,metal_amount,ligand_amount,temperature,pressure,time,conversion,ee,product,comment
C=C(C(=O)O)c1ccccc1,CO,L186,1.0,2.0,50.0,5.0,16.0,0.0,0.995,C[C@@H](C(=O)O)c1ccccc1,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L55,1.0,1.0,25.0,5.0,1.0,1.0,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L111,1.0,1.0,25.0,5.0,1.0,0.22,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L168,1.0,2.0,25.0,5.0,1.0,0.06,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L170,1.0,1.0,25.0,5.0,1.0,0.02,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L173,1.0,1.0,25.0,5.0,1.0,0.03,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L192,1.0,2.0,25.0,5.0,1.0,0.02,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L55,1.0,1.0,25.0,5.0,16.0,0.98,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L111,1.0,1.0,25.0,5.0,16.0,1.0,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L152,1.0,1.0,25.0,5.0,16.0,0.05,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L168,1.0,2.0,25.0,5.0,16.0,0.05,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L186,1.0,2.0,25.0,5.0,16.0,0.02,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L55,1.0,1.0,25.0,30.0,16.0,1.0,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L151,1.0,1.0,25.0,30.0,16.0,0.02,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L55,1.0,1.0,25.0,5.0,16.0,1.0,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L111,1.0,1.0,25.0,5.0,16.0,1.0,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
COC(=O)/C(=C/c1ccccc1)NC(C)=O,CO,L152,1.0,1.0,25.0,5.0,16.0,0.04,0.995,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,
C=C(NC(C)=O)C(=O)OC,CO,L28,1.0,1.0,25.0,5.0,1.0,0.27,0.995,COC(=O)[C@@H](C)NC(C)=O,
