base,fluoride,substrate,yield
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,OCCCCc1ccccc1,42
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,OCCCCc1ccccc1,48
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCCc1ccccc1,47
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCCc1ccccc1,52
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCCc1ccccc1,52
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,OCCCCc1ccccc1,76
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,OCCCCc1ccccc1,78
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCCc1ccccc1,87
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCCc1ccccc1,82
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCCc1ccccc1,80
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,OCCCCc1ccccc1,78
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,OCCCCc1ccccc1,79
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCCc1ccccc1,91
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCCc1ccccc1,87
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCCc1ccccc1,84
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,OCCCCc1ccccc1,87
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,OCCCCc1ccccc1,88
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCCc1ccccc1,96
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCCc1ccccc1,83
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCCc1ccccc1,94
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCc1ccccc1,40
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC(O)CCc1ccccc1,57
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCc1ccccc1,52
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCc1ccccc1,54
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCc1ccccc1,39
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCc1ccccc1,54
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC(O)CCc1ccccc1,59
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCc1ccccc1,69
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCc1ccccc1,63
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCc1ccccc1,60
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCc1ccccc1,41
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CC(O)CCc1ccccc1,49
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCc1ccccc1,57
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCc1ccccc1,55
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCc1ccccc1,61
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCc1ccccc1,42
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CC(O)CCc1ccccc1,53
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCc1ccccc1,60
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCc1ccccc1,51
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCc1ccccc1,65
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(O)CCc1ccccc1,0
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC(C)(O)CCc1ccccc1,4
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(O)CCc1ccccc1,2
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(C)(O)CCc1ccccc1,4
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCc1ccccc1,9
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(O)CCc1ccccc1,1
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC(C)(O)CCc1ccccc1,5
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(O)CCc1ccccc1,4
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(C)(O)CCc1ccccc1,5
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCc1ccccc1,18
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(O)CCc1ccccc1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CC(C)(O)CCc1ccccc1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(O)CCc1ccccc1,0
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(C)(O)CCc1ccccc1,1
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCc1ccccc1,17
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(C)(O)CCc1ccccc1,0
