name,solvent_MaxAbsEStateIndex,solvent_MaxEStateIndex,solvent_MinAbsEStateIndex,solvent_MinEStateIndex,solvent_qed,solvent_SPS,solvent_MolWt,solvent_HeavyAtomMolWt,solvent_ExactMolWt,solvent_NumValenceElectrons,solvent_NumRadicalElectrons,solvent_MaxPartialCharge,solvent_MinPartialCharge,solvent_MaxAbsPartialCharge,solvent_MinAbsPartialCharge,solvent_FpDensityMorgan1,solvent_FpDensityMorgan2,solvent_FpDensityMorgan3,solvent_BCUT2D_MWHI,solvent_BCUT2D_MWLOW,solvent_BCUT2D_CHGHI,solvent_BCUT2D_CHGLO,solvent_BCUT2D_LOGPHI,solvent_BCUT2D_LOGPLOW,solvent_BCUT2D_MRHI,solvent_BCUT2D_MRLOW,solvent_AvgIpc,solvent_BalabanJ,solvent_BertzCT,solvent_Chi0,solvent_Chi0n,solvent_Chi0v,solvent_Chi1,solvent_Chi1n,solvent_Chi1v,solvent_Chi2n,solvent_Chi2v,solvent_Chi3n,solvent_Chi3v,solvent_Chi4n,solvent_Chi4v,solvent_HallKierAlpha,solvent_Ipc,solvent_Kappa1,solvent_Kappa2,solvent_Kappa3,solvent_LabuteASA,solvent_PEOE_VSA1,solvent_PEOE_VSA10,solvent_PEOE_VSA11,solvent_PEOE_VSA12,solvent_PEOE_VSA13,solvent_PEOE_VSA14,solvent_PEOE_VSA2,solvent_PEOE_VSA3,solvent_PEOE_VSA4,solvent_PEOE_VSA5,solvent_PEOE_VSA6,solvent_PEOE_VSA7,solvent_PEOE_VSA8,solvent_PEOE_VSA9,solvent_SMR_VSA1,solvent_SMR_VSA10,solvent_SMR_VSA2,solvent_SMR_VSA3,solvent_SMR_VSA4,solvent_SMR_VSA5,solvent_SMR_VSA6,solvent_SMR_VSA7,solvent_SMR_VSA8,solvent_SMR_VSA9,solvent_SlogP_VSA1,solvent_SlogP_VSA10,solvent_SlogP_VSA11,solvent_SlogP_VSA12,solvent_SlogP_VSA2,solvent_SlogP_VSA3,solvent_SlogP_VSA4,solvent_SlogP_VSA5,solvent_SlogP_VSA6,solvent_SlogP_VSA7,solvent_SlogP_VSA8,solvent_SlogP_VSA9,solvent_TPSA,solvent_EState_VSA1,solvent_EState_VSA10,solvent_EState_VSA11,solvent_EState_VSA2,solvent_EState_VSA3,solvent_EState_VSA4,solvent_EState_VSA5,solvent_EState_VSA6,solvent_EState_VSA7,solvent_EState_VSA8,solvent_EState_VSA9,solvent_VSA_EState1,solvent_VSA_EState10,solvent_VSA_EState2,solvent_VSA_EState3,solvent_VSA_EState4,solvent_VSA_EState5,solvent_VSA_EState6,solvent_VSA_EState7,solvent_VSA_EState8,solvent_VSA_EState9,solvent_FractionCSP3,solvent_HeavyAtomCount,solvent_NHOHCount,solvent_NOCount,solvent_NumAliphaticCarbocycles,solvent_NumAliphaticHeterocycles,solvent_NumAliphaticRings,solvent_NumAmideBonds,solvent_NumAromaticCarbocycles,solvent_NumAromaticHeterocycles,solvent_NumAromaticRings,solvent_NumAtomStereoCenters,solvent_NumBridgeheadAtoms,solvent_NumHAcceptors,solvent_NumHDonors,solvent_NumHeteroatoms,solvent_NumHeterocycles,solvent_NumRotatableBonds,solvent_NumSaturatedCarbocycles,solvent_NumSaturatedHeterocycles,solvent_NumSaturatedRings,solvent_NumSpiroAtoms,solvent_NumUnspecifiedAtomStereoCenters,solvent_Phi,solvent_RingCount,solvent_MolLogP,solvent_MolMR,solvent_fr_Al_COO,solvent_fr_Al_OH,solvent_fr_Al_OH_noTert,solvent_fr_ArN,solvent_fr_Ar_COO,solvent_fr_Ar_N,solvent_fr_Ar_NH,solvent_fr_Ar_OH,solvent_fr_COO,solvent_fr_COO2,solvent_fr_C_O,solvent_fr_C_O_noCOO,solvent_fr_C_S,solvent_fr_HOCCN,solvent_fr_Imine,solvent_fr_NH0,solvent_fr_NH1,solvent_fr_NH2,solvent_fr_N_O,solvent_fr_Ndealkylation1,solvent_fr_Ndealkylation2,solvent_fr_Nhpyrrole,solvent_fr_SH,solvent_fr_aldehyde,solvent_fr_alkyl_carbamate,solvent_fr_alkyl_halide,solvent_fr_allylic_oxid,solvent_fr_amide,solvent_fr_amidine,solvent_fr_aniline,solvent_fr_aryl_methyl,solvent_fr_azide,solvent_fr_azo,solvent_fr_barbitur,solvent_fr_benzene,solvent_fr_benzodiazepine,solvent_fr_bicyclic,solvent_fr_diazo,solvent_fr_dihydropyridine,solvent_fr_epoxide,solvent_fr_ester,solvent_fr_ether,solvent_fr_furan,solvent_fr_guanido,solvent_fr_halogen,solvent_fr_hdrzine,solvent_fr_hdrzone,solvent_fr_imidazole,solvent_fr_imide,solvent_fr_isocyan,solvent_fr_isothiocyan,solvent_fr_ketone,solvent_fr_ketone_Topliss,solvent_fr_lactam,solvent_fr_lactone,solvent_fr_methoxy,solvent_fr_morpholine,solvent_fr_nitrile,solvent_fr_nitro,solvent_fr_nitro_arom,solvent_fr_nitro_arom_nonortho,solvent_fr_nitroso,solvent_fr_oxazole,solvent_fr_oxime,solvent_fr_para_hydroxylation,solvent_fr_phenol,solvent_fr_phenol_noOrthoHbond,solvent_fr_phos_acid,solvent_fr_phos_ester,solvent_fr_piperdine,solvent_fr_piperzine,solvent_fr_priamide,solvent_fr_prisulfonamd,solvent_fr_pyridine,solvent_fr_quatN,solvent_fr_sulfide,solvent_fr_sulfonamd,solvent_fr_sulfone,solvent_fr_term_acetylene,solvent_fr_tetrazole,solvent_fr_thiazole,solvent_fr_thiocyan,solvent_fr_thiophene,solvent_fr_unbrch_alkane,solvent_fr_urea
DCM,4.76389,4.76389,0.19444,0.19444,0.38996,6.0,84.933,82.917,83.95336,20.0,0.0,0.09671,-0.10913,0.10913,0.09671,1.33333,1.33333,1.33333,35.53901,11.92599,1.4122,-1.42363,1.72668,-1.23968,6.40208,2.20492,0.9183,1.63299,2.75489,2.70711,1.46304,2.97489,1.41421,0.53452,1.60357,0.10102,0.90914,0.0,0.0,0.0,0.0,0.58,2.75489,3.58,2.58,2.58,29.34578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20188,0.0,0.0,0.0,5.33919,0.0,23.20188,0.0,0.0,0.0,0.0,5.33919,0.0,0.0,0.0,0.0,0.0,0.0,23.20188,5.33919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33919,0.0,0.0,0.0,0.0,0.0,0.0,23.20188,0.0,9.52778,0.0,0.19444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0788,0.0,1.4215,16.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH3CN,7.31944,7.31944,1.43056,1.43056,0.38698,2.66667,41.053,38.029,41.02655,16.0,0.0,0.05871,-0.19866,0.19866,0.05871,2.0,2.0,2.0,14.19977,10.95509,1.17273,-1.14652,1.21462,-1.1001,4.50702,1.48965,0.9183,2.47553,24.26466,2.70711,1.94721,1.94721,1.41421,0.72361,0.72361,0.22361,0.22361,0.0,0.0,0.0,0.0,-0.51,2.75489,2.49,1.49,1.49,19.49677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26189,0.0,0.0,0.0,6.92374,6.06922,0.0,0.0,5.26189,0.0,0.0,6.92374,0.0,0.0,0.0,6.06922,0.0,0.0,0.0,0.0,0.0,0.0,11.33111,6.92374,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.92374,6.06922,0.0,0.0,5.26189,0.0,0.0,0.0,7.31944,0.0,0.0,1.75,0.0,1.43056,0.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2367,0.0,0.52988,11.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toluene,2.08333,2.08333,1.32176,1.32176,0.45881,8.71429,92.141,84.077,92.0626,36.0,0.0,-0.03977,-0.06225,0.06225,0.03977,1.0,1.57143,1.85714,13.78211,10.24463,1.71525,-1.82232,1.91628,-1.62216,5.11183,1.47576,1.68562,3.02147,129.96566,5.11288,4.38675,4.38675,3.39385,2.41068,2.41068,1.6547,1.6547,0.94046,0.94046,0.53438,0.53438,-0.78,47.19725,4.38077,1.78329,1.03826,43.79635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89529,6.92374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92374,0.0,35.89529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92374,5.56345,30.33184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56345,0.0,18.1991,19.05647,0.0,0.0,0.0,0.0,0.0,1.32176,0.0,10.26157,0.0,2.08333,0.0,0.14286,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11602,1.0,1.99502,31.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCE,5.05401,5.05401,0.5571,0.5571,0.4363,7.5,98.96,94.928,97.96901,26.0,0.0,0.03589,-0.12542,0.12542,0.03589,1.0,1.25,1.25,35.49856,10.97023,1.6127,-1.62852,1.7459,-1.63333,6.25455,1.52249,1.37095,1.97474,6.0,3.41421,2.17014,3.682,1.91421,1.03452,2.10357,0.37796,1.13389,0.07143,0.64286,0.0,0.0,0.58,6.85475,4.58,3.58,2.58,35.71073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20188,0.0,0.0,11.76001,0.0,0.0,23.20188,0.0,0.0,0.0,0.0,11.76001,0.0,0.0,0.0,0.0,0.0,0.0,23.20188,11.76001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76001,0.0,0.0,0.0,0.0,0.0,23.20188,0.0,10.10802,0.0,0.0,0.0,1.1142,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0991,0.0,1.464,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chloroform,4.80556,4.80556,0.75,-0.75,0.42786,9.0,119.378,118.37,117.91438,26.0,0.0,0.18011,-0.08741,0.18011,0.08741,1.0,1.0,1.0,35.58227,11.88373,1.78448,-1.68978,2.03233,-1.54593,6.62535,1.96065,0.81128,2.32379,8.0,3.57735,1.71124,3.97903,1.73205,0.65465,1.96396,0.24744,2.22692,0.0,0.0,0.0,0.0,0.87,3.24511,4.87,2.1284,13.25948,39.64905,0.0,0.0,4.29545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80282,0.0,0.0,0.0,0.0,34.80282,0.0,0.0,0.0,4.29545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80282,4.29545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80282,-0.75,14.41667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59132,0.0,1.9864,21.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THF,4.94444,4.94444,1.0,1.0,0.41094,24.0,72.107,64.043,72.05751,30.0,0.0,0.04664,-0.38145,0.38145,0.04664,1.0,1.6,1.8,16.47808,10.39358,1.94275,-1.76403,1.97826,-1.74303,4.43175,0.19783,1.7605,2.08333,15.21928,3.53553,3.23668,3.23668,2.5,2.07735,2.07735,1.31948,1.31948,0.82735,0.82735,0.51031,0.51031,-0.04,22.88644,3.16161,1.41031,0.61836,31.94179,4.73686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164,13.21376,0.0,4.73686,0.0,0.0,0.0,0.0,12.84164,13.21376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21376,4.73686,0.0,12.84164,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,13.21376,12.84164,0.0,0.0,0.0,4.73686,4.94444,0.0,0.0,0.0,0.0,0.0,0.0,2.55556,2.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.89177,1.0,0.7968,20.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ether,4.83333,4.83333,0.84375,0.84375,0.47527,8.4,74.123,64.043,74.07316,32.0,0.0,0.04371,-0.38203,0.38203,0.04371,1.2,1.6,1.6,16.47149,10.80069,1.63525,-1.85898,1.64002,-1.83738,4.06677,0.16176,1.40564,2.19061,11.11942,4.12132,3.82246,3.82246,2.41421,1.99156,1.99156,0.78147,0.78147,0.40825,0.40825,0.20412,0.20412,-0.04,11.24511,4.96,3.96,3.96,32.94762,4.73686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84747,13.21376,0.0,4.73686,0.0,0.0,0.0,0.0,13.84747,13.21376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21376,4.73686,0.0,13.84747,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,13.21376,0.0,0.0,13.84747,0.0,4.73686,4.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66667,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.92832,0.0,1.0428,22.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMF,9.43056,9.43056,0.75,0.75,0.39027,6.8,73.095,66.039,73.05276,30.0,0.0,0.20868,-0.35139,0.35139,0.20868,1.6,1.8,1.8,16.14126,10.98473,1.67659,-1.92795,1.51643,-2.0562,5.44825,-0.11544,1.37878,2.82575,33.8743,4.28446,3.43281,3.43281,2.27006,1.38833,1.38833,1.06902,1.06902,0.21082,0.21082,0.0,0.0,-0.53,9.65148,4.47,1.75818,3.47,31.39049,4.89991,0.0,0.0,6.4101,0.0,0.0,4.79454,0.0,0.0,0.0,0.0,0.0,14.09534,0.0,4.79454,6.4101,0.0,4.89991,0.0,0.0,14.09534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.40535,4.79454,0.0,0.0,0.0,0.0,0.0,0.0,20.31,0.0,4.79454,0.0,0.0,0.0,6.4101,4.89991,14.09534,0.0,0.0,0.0,0.0,0.0,10.875,0.0,0.0,0.0,0.0,0.75,0.0,3.375,0.66667,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.57182,0.0,-0.2956,19.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMSO,9.55556,9.55556,0.61111,-0.61111,0.39819,8.75,78.136,72.088,78.01394,26.0,0.0,0.0148,-0.26016,0.26016,0.0148,1.5,1.5,1.5,32.19696,11.9122,1.57163,-1.59866,1.47082,-1.7012,7.82999,0.69001,0.81128,2.80304,29.01955,3.57735,2.8165,3.63299,1.73205,0.98316,2.94949,0.74158,2.22474,0.0,0.0,0.0,0.0,0.15,3.24511,4.15,1.46746,126.37222,28.47845,0.0,0.0,0.0,0.0,0.0,0.0,4.2089,0.0,0.0,0.0,0.0,0.0,23.31111,0.0,4.2089,10.79957,0.0,0.0,0.0,0.0,12.51154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.72044,10.79957,0.0,0.0,0.0,0.0,0.0,0.0,17.07,10.79957,4.2089,0.0,0.0,0.0,0.0,0.0,12.51154,0.0,0.0,0.0,9.55556,0.0,0.0,0.0,0.0,0.0,0.0,3.27778,0.0,-0.61111,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52249,0.0,-0.0053,19.9904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HFIP,10.97512,10.97512,4.23611,-5.62674,0.54273,14.4,168.036,166.02,168.00098,62.0,0.0,0.4229,-0.37656,0.4229,0.37656,0.8,1.0,1.0,19.4248,10.33378,2.55253,-2.1609,2.3204,-2.41265,4.72149,-0.30837,1.5895,4.23113,97.14179,8.57735,4.29235,4.29235,4.1547,1.96944,1.96944,1.48576,1.48576,0.6201,0.6201,0.18558,0.18558,-0.46,63.57981,9.54,2.29653,2.42167,51.25658,5.10653,0.0,0.0,6.10397,0.0,12.3526,0.0,0.0,26.34249,0.0,0.0,0.0,0.0,0.0,31.44902,0.0,0.0,0.0,0.0,18.45656,0.0,0.0,0.0,0.0,0.0,26.34249,0.0,0.0,23.56309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,18.45656,26.34249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10653,65.85069,0.0,0.0,7.47222,0.0,0.0,0.0,-15.48958,0.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19089,0.0,1.4719,18.1168,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
