reaction_id,product,Conversion,solvent,catalyst,ligand,reactant2,reactant1,base
1,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.76,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
2,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.12,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
3,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.58,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
4,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.44,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
5,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.95,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
6,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.25,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
7,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,86.26,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
8,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,7.55,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
9,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,93.67,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
10,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,14.32,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
11,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.11,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
12,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,17.09,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Na+].[OH-]
13,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.16,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
