step,init_method,init_sample,batch,n_experiments,thresholds,dmaximin_pareto,acquisition,dmaximin_tradeoff,hypervolume_ground,hypervolume_sampled,hypervolume completed (%),sample_index,MAE_Conversion,RMSE_Conversion,R2_Conversion,Conversion_collected_values,Conversion_best
0,with_index,1,5,5,[None],69.64,EHVI,,1.0,0.303600013256073,30.3600013256073,46,,,,2.27,30.36
0,with_index,1,5,5,[None],69.64,EHVI,,1.0,0.303600013256073,30.3600013256073,286,,,,0.0,30.36
0,with_index,1,5,5,[None],69.64,EHVI,,1.0,0.303600013256073,30.3600013256073,84,,,,9.76,30.36
0,with_index,1,5,5,[None],69.64,EHVI,,1.0,0.303600013256073,30.3600013256073,381,,,,30.36,30.36
0,with_index,1,5,5,[None],69.64,EHVI,,1.0,0.303600013256073,30.3600013256073,165,,,,26.83,30.36
1,with_index,1,5,10,[None],55.06,EHVI,,1.0,0.4494000077247619,44.9400007724762,9687,27.904230865571,36.05809335314088,-1.067241410639149,17.700000762939453,44.94
1,with_index,1,5,10,[None],55.06,EHVI,,1.0,0.4494000077247619,44.9400007724762,8009,27.904230865571,36.05809335314088,-1.067241410639149,23.21999931335449,44.94
1,with_index,1,5,10,[None],55.06,EHVI,,1.0,0.4494000077247619,44.9400007724762,8007,27.904230865571,36.05809335314088,-1.067241410639149,41.220001220703125,44.94
1,with_index,1,5,10,[None],55.06,EHVI,,1.0,0.4494000077247619,44.9400007724762,7165,27.904230865571,36.05809335314088,-1.067241410639149,17.299999237060547,44.94
1,with_index,1,5,10,[None],55.06,EHVI,,1.0,0.4494000077247619,44.9400007724762,5421,27.904230865571,36.05809335314088,-1.067241410639149,44.94,44.94
2,with_index,1,5,15,[None],27.62999725341797,EHVI,,1.0,0.7237000465393066,72.37000465393066,10542,23.846741288834984,31.317979225158915,-0.5594560584981747,64.05999755859375,72.37000274658203
2,with_index,1,5,15,[None],27.62999725341797,EHVI,,1.0,0.7237000465393066,72.37000465393066,10539,23.846741288834984,31.317979225158915,-0.5594560584981747,72.37000274658203,72.37000274658203
2,with_index,1,5,15,[None],27.62999725341797,EHVI,,1.0,0.7237000465393066,72.37000465393066,10537,23.846741288834984,31.317979225158915,-0.5594560584981747,67.5199966430664,72.37000274658203
2,with_index,1,5,15,[None],27.62999725341797,EHVI,,1.0,0.7237000465393066,72.37000465393066,8248,23.846741288834984,31.317979225158915,-0.5594560584981747,40.45000076293945,72.37000274658203
2,with_index,1,5,15,[None],27.62999725341797,EHVI,NA,1.0,0.7237000465393066,72.37000465393066,6797,23.846741288834984,31.317979225158915,-0.5594560584981747,17.969999313354492,72.37000274658203
